tid;tdate;tname;ttext;ttype;trep;tfav;tstcount;tfol;tfrien;listcount;noname
"408906692374446080";"1386325927";"pleease_shut_up";"@first_timee хоть я и школота, но поверь, у нас то же самое :D общество профилирующий предмет типа)";"1";"0";"0";"0";"7569";"62";"61";"0"
"408906692693221377";"1386325927";"alinakirpicheva";"Да, все-таки он немного похож на него. Но мой мальчик все равно лучше:D";"1";"0";"0";"0";"11825";"59";"31";"2"
"408906695083954177";"1386325927";"EvgeshaRe";"RT @KatiaCheh: Ну ты идиотка) я испугалась за тебя!!!";"1";"0";"1";"0";"1273";"26";"27";"0"
"408906695356973056";"1386325927";"ikonnikova_21";"RT @digger2912: ""Кто то в углу сидит и погибает от голода, а мы ещё 2 порции взяли, хотя уже и так жрать не хотим"" :DD http://t.co/GqG6iuE2…";"1";"0";"1";"0";"1549";"19";"17";"0"
"408906761416867842";"1386325943";"JumpyAlex";"@irina_dyshkant Вот что значит страшилка :D
Но блин,посмотрев все части,у тебя создастся ощущение,что авторы курили что-то :D";"1";"0";"0";"0";"597";"16";"23";"1"
"408906761769598976";"1386325943";"JustinB94262583";"ну любишь или нет? — Я не знаю кто ты бля:D http://t.co/brf9eNg1U6";"1";"0";"0";"0";"40";"6";"16";"0"
"408906762436481024";"1386325943";"twinkleAYO";"RT @SpoonLamer: Ох,900 :D ну это конечно же @twinkleAYO . Чтобы у нее было много друзей, ведь она такая мимими &lt;3";"1";"0";"1";"0";"5169";"58";"43";"2"
"408906764114206720";"1386325944";"pycalyruhog";"RT @veregijytaqo: У тебя есть ухажёр? Нет - мои уши не кто не жрёт :D";"1";"0";"2";"0";"393";"112";"153";"0"
"408906764608749568";"1386325944";"grishintv";"Поприветствуем моего нового читателя @Alexey1789 ;)";"1";"0";"0";"0";"5872";"1387";"1431";"12"
"408906765841870848";"1386325944";"alina_612";"Теперь у меня есть частичка Сиднея :) #Sydney #SydneyOperaHouse http://t.co/agnto3CZEi";"1";"0";"0";"0";"263";"5";"36";"0"
"408906765896785920";"1386325944";"anvaharpew";"Люблю маму и папу!!!!а в остальное я так...-влюбляюсь, привязываюсь))) ";"1";"0";"0";"0";"20098";"619";"38";"1"
"408906815125340160";"1386325956";"kazerepiconu";"RT @dicyziqecida: Как-то я забыла, что вчера приехал из деревни наш котэня и испугалась, когда он утром пришел ко мне общаться. :) Доброе у";"1";"0";"4";"0";"294";"87";"87";"0"
"408906818287828993";"1386325957";"Dane_Rider";"@MrsRourke_s_tit @_vivante @dyu_bryun так было задумано, да :)";"1";"0";"0";"0";"49346";"481";"123";"21"
"408906819084754944";"1386325957";"Eugenia_lev";"@Kruglova_Julia_  дааааа))
Ты... Ты... Ты и только ты...)*";"1";"0";"0";"0";"63";"11";"30";"0"
"408906820019712002";"1386325957";"Vitaliy_Ivanov";"@Alex_Shvarz :)) О, нет. Вы ведь всё равно обзоры урезаете? Просто одна версия сильно порезанная, а другая полная, только без мусора.";"1";"0";"0";"0";"14666";"258";"352";"7"
"408906854383620096";"1386325965";"__Brad_";"@Jyliaalex смотри там случайно в аспирантуру не попади, наука никого до добра не доводила)";"1";"0";"0";"0";"2879";"129";"254";"2"
"408906854803451904";"1386325965";"fantanshik";"RT @Abdullin_A_R: @LikhodedovaMary эхх, а в УГАТУ о контрольных предупреждают уже на контрольной)";"1";"0";"1";"0";"2074";"82";"44";"5"
"408906854849204225";"1386325965";"Tienn_En";"@marinaysol а, а то подумала, что у тебя там пробежечка.)";"1";"0";"0";"0";"6362";"30";"28";"1"
"408906855146983424";"1386325966";"bstrd666";"@xLesherx @4EU3 зря вы с этой хуйней шутите)) я много историй наблюдал в режиме рил времени по работе с русскими которые разбивались на них";"1";"0";"0";"0";"13431";"473";"111";"2"
"408906857659392000";"1386325966";"esken_h";"@Moscow_advokat Очень главное спасибо for   МЕДВЕД™ — он работал клоуном-аниматором!   :-)))";"1";"0";"0";"0";"126795";"581";"86";"10"
"408906857982726144";"1386325966";"Obrazcova98";"У нас есть прекрасная история, как сдохнуть за неделю!!)";"1";"0";"0";"0";"492";"14";"23";"0"
"408906858783453184";"1386325966";"gaga_ylala";"@Benjamin1610 сегодня столько поводов выпить, что я уже не могу усидеть на месте)";"1";"0";"0";"0";"25752";"234";"120";"3"
"408906858921865217";"1386325966";"balandin73";"@StalinGulag унылый?...наверное...вдруг его перед этим чпокнули?))))";"1";"0";"0";"0";"9747";"1199";"1671";"24"
"408906911049068544";"1386325979";"ElenaChuravkina";"RT @lumenso: @GruzdevVladimir @Sergey_Degtyrev 1) При поддержке администрации МО Белевский район сборная Белевского района по http://t.co/r…";"1";"0";"3";"0";"504";"39";"65";"1"
"408906911929466880";"1386325979";"grishintv";"Поприветствуем моего нового читателя @afyfglprwl ;)";"1";"0";"0";"0";"5876";"1387";"1431";"12"
"408906913154625536";"1386325979";"OSlavkina";"Как же хооорошо валяться, но мой бедный, обколотый попец хочет на прогулку) http://t.co/XugobJeb9c";"1";"0";"0";"0";"356";"19";"14";"0"
"408906915050434560";"1386325980";"SafonovaVita";"Хоть у кого то заебись всё) Настюх, рада за тебя пиздец) прям искренне рада)) есть все же справедливость на свете)";"1";"0";"0";"0";"9877";"91";"46";"1"
"408906969425010688";"1386325993";"LebedokPasha";"да почему мне похуй то)
Новерное потому что еще не ночь темная) )";"1";"0";"0";"0";"4104";"37";"37";"0"
"408906969546633216";"1386325993";"NasaRomanova";"блин,хочется писать и писать))всякую хуйню пишу,но все равно хочется)";"1";"0";"0";"0";"181";"1";"4";"0"
"408906971073355776";"1386325993";"_UlyanaKoks_";"@JuliaLacoste_ @Kate_Craik а мне хотя бы расскажите что по чем)";"1";"0";"0";"0";"34551";"552";"360";"6"
"408906972449492992";"1386325994";"edvard146";"RT @Lubalubochka2: @edvard146 для тебя;) http://t.co/EPzvFGfLfA";"1";"0";"1";"0";"7072";"4422";"4095";"44"
"408906974269833216";"1386325994";"14_aliya";"@1m_one я по первому не смотрю,поэтому качаю в инете)найди группу в вк Оттепель,там думаю все серии есть)";"1";"0";"0";"0";"12062";"187";"175";"3"
"408906974416220160";"1386325994";"MarieBarybina";"Предвкушение  потрясающего уикенда  - Праздник света! Гулять ночи напролет и любоваться огнями :*";"1";"0";"0";"0";"226";"24";"29";"0"
"408907039847366656";"1386326010";"vikaaaa_rarar";"я рааааааад,ведь сегодня впереди вся ночь,сериалы,фильмы,книга и кофе:) идеальная ночка:)";"1";"0";"0";"0";"240";"14";"34";"0"
"408907042120691712";"1386326010";"Alquen1";"Списком надо! Всем гамузом. :D http://t.co/IL0Y1evQY7";"1";"0";"0";"0";"119";"6";"36";"0"
"408907042154635264";"1386326010";"KristinaMuza";"RT @StarScrim3: #RT Электрогенератор http://t.co/qjlwirfD3A изсостоек и не победим!))";"1";"0";"20";"0";"7156";"1755";"1804";"12"
"408907042444042240";"1386326010";"Polisha_V";"@mari_filimonova у меня нет фоток ))))) позже тогда кину ))))";"1";"0";"0";"0";"127";"21";"21";"0"
"408907042951143424";"1386326010";"MikolyukYa";"Второй день подряд мне снятся сны с Ромой. Я сошла с ума) #RomaAcorn";"1";"0";"0";"0";"75";"19";"55";"0"
"408907043308068864";"1386326010";"PankratovaKotya";"RT @amytareva: -слушай, Коть, можно я этим боком встану, так лучше получается? :)
-а у меня наоборот этот! 
@PankratovaKotya лучший человек…";"1";"0";"1";"0";"753";"72";"87";"0"
"408907082340245504";"1386326020";"qesilafyho";"RT @qotozobygl: почти в каждых Пиратах-РТ неимоверно радует своими политическими позициями в отсутствии понимания и фактов. :-)";"1";"0";"2";"0";"146";"89";"81";"0"
"408907083409391616";"1386326020";"talien_";"-Оля, ты очень добрая на самом деле. 
-А ты сучка злая. Бу на тебя
-Да я та еще тварь
-Заметь, ты сама это сказала
#диалогивофисе

Люблю их)";"1";"0";"0";"0";"34798";"170";"178";"2"
"408907084910977024";"1386326020";"ChekalinaMari";"Не иду завтра в школу,первый раз мама так настойчиво не отпускала меня,спасиибки)";"1";"0";"0";"0";"736";"26";"225";"1"
"408907085519544320";"1386326020";"EremkinKristina";"Как же мне нравятся мужчины в строгих костюмах)) млею!";"1";"0";"0";"0";"1893";"55";"57";"0"
"408907086878109696";"1386326021";"Chenzana";"@LilSwallow так это пушистая скотина тоже дрыхнет круглые сутки. просыпается только, чтоб поорать возле миски)";"1";"0";"0";"0";"69647";"3074";"299";"310"
"408907125751312384";"1386326030";"alinochka013";"@kgshel ахаха
да нормээ)) с моим врачем мне ничего не страшно))";"1";"0";"0";"0";"768";"97";"22";"0"
